Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided	Other notes	Status (Only for Mark/Kaumadi)
PMC6562977	1014	Sameer	Animals (Basel)	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6563026	1015	Sameer	Antioxidants (Basel)	Gene expression array, RNA-seq 	Homo sapiens	Not stated	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6563521	1016	Sameer	Evol Bioinform Online	RNA-seq	Lilium pumilum	GO, KEGG	No	hypergeometric, fisher	Yes	Not stated	No	NA	Not stated	Background list	No	in KEGG pathways, it mentioned the input no. & background no. for each pathway. does it refer to background list	
PMC6563800	1017	Sameer	PeerJ	Gene expression array, RNA-seq 	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list	Yes	FDR corrected for GSEA but not with DAVID	
PMC6563800	1017	Sameer	PeerJ	Gene expression array, RNA-seq 	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	Not stated	Background list	Yes	authors didnt provide list of Enriched DEGs within pathways but did for whole list of detected transcripts	
PMC6563950	1018	Sameer	PLoS Genet	GWAS	Homo sapiens	GO, KEGG	No	Not stated	Yes	GSA-SNP	No	NA	Not stated	Background list	Yes		
PMC6565949	1019	Sameer	Front Genet	RNA-seq	Mus musculus	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR, no enrichment data shown	No	This is really awful	
PMC6566080	1020	Sameer	Exp Ther Med	Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6566089	1021	Sameer	Exp Ther Med	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background list	No		
PMC6566124	1022	Sameer	Exp Ther Med	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6566245	1023	Sameer	Int J Mol Sci	DNA-Seq, microbiome	Sus scrofa	GO, KEGG,eggNOGs	Yes	Not stated	Yes	DAVID	Yes	NA	Not stated	Background list	No		
PMC6566377	1024	Sameer	Front Plant Sci	RNA-seq	Zygnema circumcarinatum	GO, UniProt	No	binomial test	Yes	DIAMOND	No	NA	Not stated	Background list	No	adj. P-val, orthologous gene clusters provided	
PMC6566439	1025	Sameer	Nanomaterials (Basel)	RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6566439	1025	Sameer	Nanomaterials (Basel)	RNA-seq	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	Not stated	Background list, FDR	No		
PMC6566490	1026	Sameer	Mult Scler J Exp Transl Clin	RNA-seq, GWAS	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	Yes	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background list	Yes		
PMC6566613	1027	Sameer	Int J Mol Sci	RNA-seq	Camellia sinensis	GO	No	Not stated	Yes	Blast2GO	No	NA	Not stated	Background list	No		
PMC6566613	1027	Sameer	Int J Mol Sci	RNA-seq	Camellia sinensis	KEGG	No	Not stated	Yes	KAAS	No	NA	Not stated	Background list	No		
PMC6566844	1028	Sameer	Int J Mol Sci	Proteomics	Taraxacum kok-saghyz	GO, KEGG	No	Not stated	Not stated	Blast2GO, WEGO	No	NA	Not stated	Background list, FDR	No	WEGO probably used for visualization, protein list provided	
PMC6566916	1029	Sameer	Int J Mol Sci	RNA-seq, Proteomics	Oryza sativa	GO, KEGG	No	Fisher	Yes	R custom script	No	No	Yes	No	Yes		
PMC6567145	1030	Sameer	Int J Mol Sci	Proteomics	Oryza sativa	GO, PANTHER protein classes	No	Not stated	Not stated	PANTHER	Yes	NA	Not stated	Background list, FDR	No	functional analysis done for proteins not genes	
PMC6567270	1031	Sameer	Int J Mol Sci	Proteomics, scRNA-seq	Mus musculus	GO	No	Not stated	Yes	STRING	No	NA	Not stated	Background list	No		
PMC6567414	1032	Sameer	BMC Genomics	RNA-seq, de Novo assembly	Juncus effusus	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6567461	1033	Sameer	Hum Genomics	GWAS	Homo sapiens	GO, KEGG	No	Fisher	Yes	DAVID	Yes	NA	Not stated	No	No	Fold enrichment calculated as study genes of a pathway vs Universe genes in the pathway (used as background)	
PMC6567466	1034	Sameer	J Biomed Semantics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	This paper describes a machine learning analysis of different databases and doesn't involve enrichment analysis per se	
PMC6567518	1035	Sameer	Stem Cell Res Ther	microRNA-seq	Homo sapiens	GO, KEGG	No	hypergeometric 	Yes	Not stated	No	NA	Stated, but incorrect	No	Yes	Background (whole genome background used in enrichment analysis, but don't know if its only genes detected by this study or ref. genome. enrichment done for miR targets	I don't think the whole genome background is appropriate here
PMC6567623	1036	Sameer	Stem Cell Res Ther	Gene expression array	Rattus norvegicus	GO, KEGG, WikiPathways	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No		
PMC6567669	1037	Sameer	BMC Cancer	RNA-seq	Homo sapiens	GSEA	No	GSEA	Yes	GSEA	No	NA	Not stated	Background list	No		
PMC6567810	1038	Sameer	Int J Biol Sci	microRNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	Yes	Cytoscape used for miRNA-mRNA interaction, but didn't mention app used in enrichment.	
PMC6567928	1039	Sameer	Front Pharmacol	Proteomics, lipidomics	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No	you may exclude only pathway analysis for proteins but not enrichment and didn't test for genes	
PMC6568258	1040	Sameer	Metabolomics	Metabolomics	Homo sapiens	MetaboAnalyst	No	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background list, FDR	No	may exclude pathway not enrichment analysis for metabolites not genes	we will include this one
PMC6570467	1041	Sameer	Oncotarget	Proteomics, Metabolomics, Gene expression array	Homo sapiens	Reactome	No	Overrepresentation (not specified)	No	Reactome web app	No	NA	Not stated	Background list, FDR	Yes		
PMC6570473	1042	Sameer	Oncotarget	RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6570473	1042	Sameer	Oncotarget	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	STRING	Yes	NA	Not stated	Background list	No		
PMC6570702	1043	Sameer	Funct Integr Genomics	Gene expression array, microRNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6570833	1044	Sameer	Gut Pathog	GWAS	Homo sapiens	KEGG	No	Not stated	No	PathwayConnector	No	NA	Not stated	Background list, FDR	No		
PMC6570933	1045	Sameer	BMC Bioinformatics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	This is a methods paper and does not use enrichment analyses	Exclude it
PMC6571000	1046	Sameer	PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background list, FDR	No	FDR mentioned for GO only and for KEGG just p-val.	
PMC6571007	1047	Sameer	PeerJ	pyrosequencing	Homo sapiens	KEGG	No	Not stated	No	Not stated	NA	NA	Not stated	Background list, FDR	No	This one really bad	
PMC6571061	1048	Sameer	Clin Cancer Res	Metabolomics, lipidomics	Homo sapiens	KEGG, MSigDB	No	hypergeometric 	No	Not stated	NA	NA	Not stated	Background list, FDR	Yes	list of metabolites & lipids provided	
PMC6571061	1048	Sameer	Clin Cancer Res	 Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6571259	1049	Sameer	Medicine (Baltimore)	 miRNA expression array, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6571408	1050	Sameer	Medicine (Baltimore)	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	LinkeDomics	No	NA	Not stated	Background list	No	claimed they used GSEA in tool named LinkeDomics, but no GSEA plots shown. So its actually not std GSEA	
PMC6571408	1050	Sameer	Medicine (Baltimore)	RNA-seq	Homo sapiens	KEGG	No	Not stated	No	ClueGO	No	NA	Not stated	Background list, FDR	No		
PMC6571571	1051	Sameer	J Clin Med	Metabolomics	Homo sapiens	MetaboAnalyst 	No	Not stated	Not stated	MeTPA	No	NA	Not stated	FDR	No	MetPA tool but they didn't state which test was used. I'm also supposing they used the Metaboanalyst library even though it is not explicitly states	
PMC6571615	1052	Sameer	Molecules	Metabolomics	Rattus norvegicus	MetaboAnalyst 	No	Not stated	Yes	MetaboAnalyst (MetPA)	No	NA	Not stated	Background list, FDR	No		
PMC6571969	1053	Sameer	Biomolecules	Gene expression array	Homo sapiens	GO, KEGG, PID, Reactome, MSigDB, PantherDB pathway, GenMAPP, Pathway Ontology	No	Not stated	No	ToppGene	No	NA	Not stated	Background list, FDR	Yes	FDR provided in suppl	
PMC6572139	1054	Sameer	Metabolites	Metabolomics	Homo sapiens	Human Metabolome Database	Yes	Fisher	Yes	MetaboAnalyst 	No	NA	Not stated	Background list	No	No mention for enrichment analysis involving genes. Only pathway analysis for metabolites. metabolites list provided in suppl	
PMC6572146	1055	Sameer	Medicina (Kaunas)	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	NetworkAnalyst	No	NA	Not stated	Background list	No		
PMC6572535	1056	Sameer	Metabolites	Metabolomics	Desmosdesmus sp. AARLG074	Arabidopsis thaliana metabolic pathway	No	Not stated	No	MetaboAnalyst 	Yes	No	Not stated	Background list, FDR	Yes	Rscript (link) for the app provided,  no enrichment analysis mentioned, only pathway anlysis for metabolites	That is just a link to the metaboanalyst repo, not the script that was used by the investigators here.
PMC6572621	1057	Sameer	J Clin Med	DNA microarray, RNA-seq	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	Yes	FDR for GO analysis provided in suppl	
PMC6572715	1058	Sameer	Metabolites	Metabolomics, lipidomics,  RNA-seq	Homo sapiens	MSigDB, KEGG	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	Yes	FDR for KEGG & GO analysis provided in suppl	
PMC6572715	1058	Sameer	Metabolites	Metabolomics, lipidomics	Homo sapiens	ChemRICH	No	Kolmogorov–Smirnoff 	Yes	ChemRICH	No	NA	Not stated	No	Yes		
PMC6572862	1059	Sameer	Hortic Res	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Exclude because this is a webserver tool	
PMC6573007	1060	Sameer	Cancer Manag Res	Gene expression array	Homo sapiens	KEGG, OMIM, FunDO	No	Not stated	No	KOBAS	Yes	NA	Not stated	Background list, FDR	No		
PMC6573934	1061	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Only suppl not full article	
PMC6573960	1062	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6573989	1063	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6573995	1064	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574244	1065	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574274	1066	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574309	1067	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574717	1068	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574850	1069	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574860	1070	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6574935	1071	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6575075	1072	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6576246	1073	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE		
PMC6576276	1074	Sameer	Curr Dev Nutr	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Only suppl not full article	
PMC6579046	1075	Sameer	Anal Chim Acta	Single cell metabolomics	Homo sapiens	Mummichog	No	Not stated	No	Mummichog	No	NA	Not stated	Background list, FDR	No		
PMC6579764	1076	Sameer	Cell Death Discov	RNA-seq	Sus scrofa	GO	No	Not stated	No	PANTHER	No	No	Not stated	Background list, FDR	Yes	FDR provided in suppl files not in the article itself	
PMC6579872	1077	Sameer	Cancer Manag Res	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6579967	1078	Sameer	Mol Med Rep	RNA-seq, Gene expression array	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	NA	FDR	No		
PMC6579968	1079	Sameer	Mol Med Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6579970	1080	Sameer	Mol Med Rep	RNA-seq	Mus musculus	GO, KEGG	No	Not stated	Yes	ClusterProfiler	Yes	No	Not stated	Background list	No	only KEGG version provided	
PMC6579986	1081	Sameer	Mol Med Rep	Gene expression array	Homo sapiens	GO	No	Not stated	No	Metascape	No	NA	Not stated	Background list, FDR	No		
PMC6580019	1082	Sameer	Mol Med Rep	RNA-seq	Panax ginseng	KEGG	No	hypergeometric	Yes	Not stated	NA	NA	Not stated	Background list	No		
PMC6580034	1083	Sameer	Mol Med Rep	RNA-seq	Serratia marcescens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6580035	1084	Sameer	Mol Med Rep	RNA-seq	Rattus norvegicus	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6580103	1085	Sameer	Exp Ther Med	Gene expression array	Homo sapiens	GO, KEGG, Reactome 	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	Yes		
PMC6580103	1085	Sameer	Exp Ther Med	Gene expression array	Homo sapiens	GO	No	Not stated	No	PANTHER	No	No	Not stated	Background list, FDR	Yes		
PMC6580107	1086	Sameer	Exp Ther Med	Gene expression array	Mus musculus	GO, KEGG, BioCyc	Yes	No test	NA	Not stated	No	NA	Not stated	Inference without test, background	No		
PMC6580113	1087	Sameer	Data Brief	Proteomics	Homo sapiens	GO	No	Not stated	No	WebGestalt	No	NA	Not stated	Background list, FDR	Yes		
PMC6580171	1088	Sameer	Am J Physiol Endocrinol Metab	RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	GAGE	No	No	Not stated	Background list	No		
PMC6580234	1089	Sameer	Heliyon	Proteomics	Candida albicans	GO	No	hypergeometric	Yes	ClueGO	No	NA	Not stated	Background list	Yes		
PMC6580485	1090	Sameer	BMC Bioinformatics	RNA-seq	Homo sapiens	GO	No	Not stated	No	PANTHER	No	No	Not stated	Background list, FDR	No		
PMC6580494	1091	Sameer	J Exp Clin Cancer Res	Database	Homo sapiens	MSigDB	No	GSEA	No	GSEA	Yes	NA	NA	FDR	No	Note	
PMC6580566	1092	Sameer	BMC Med Genomics	RNA-seq	Homo sapiens	Ingenuity Pathway Analysis	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6580702	1093	Sameer	Mol Cell Biol	CRISPR screen, RNA-seq	Homo sapiens	GO	No	hypergeometric	Yes	Not stated	No	NA	Not stated	Background list	Yes		
PMC6580941	1094	Sameer	J Virol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	Yes	FDR provided in suppl not in the article	
PMC6581026	1095	Sameer	Front Genet	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	FUMA	No	NA	Not stated	Background list	Yes		
PMC6581565	1096	Sameer	Aquat Toxicol	Metabolomics	Artemia franciscana	KEGG	No	Not stated	Yes	R package PAPi	No	No	Not stated	Background list	Yes		
PMC6581595	1097	Sameer	Circ Genom Precis Med	RNA-seq	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	Yes		
PMC6581693	1098	Sameer	Cell Rep	RNA-seq, ScRNA-seq, ATAC-Seq, ChIP-Seq	Mus musculus	GO, KEGG	No	binomial test	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6581966	1099	Sameer	Transl Oncol	Target capture-Seq	Homo sapiens	Ingenuity Pathway Analysis	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background list, FDR	No		
PMC6582147	1100	Sameer	Commun Biol	Genome sequening	Bos taurus	custom gene sets	NA	Not stated	No	BFMAP	No	No	Not stated	Background list, FDR	Yes		
PMC6582306	1101	Sameer	ASN Neuro	RNA-seq, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6582507	1102	Sameer	BMC Genomics	RNA-seq	Sus scrofa	GO, KEGG	No	hypergeometric, Fisher	Yes	R custom script	No	No	Not stated	Background list	No		
PMC6582682	1103	Sameer	Med Sci Monit	Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6582691	1104	Sameer	Med Sci Monit	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background list	No		
PMC6582691	1104	Sameer	Med Sci Monit	Gene expression array	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6582772	1105	Sameer	Front Oncol	Database	Homo sapiens	KEGG	No	Not stated	No	FunRich	No	NA	Not stated	Background list, FDR	No		
PMC6583919	1106	Sameer	Acta Cir Bras	Gene expression array	Mus musculus	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6584338	1107	Sameer	J Cancer	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	Yes	FDR for GO & KEGG provided in suppl	
PMC6584338	1107	Sameer	J Cancer	Database	Homo sapiens	KEGG	No	Not stated	No	ClueGO	No	NA	Not stated	Background list, FDR	Yes	FDR for GO & KEGG provided in suppl	
PMC6584338	1107	Sameer	J Cancer	Database	Homo sapiens	KEGG	No	Not stated	No	CluePedia	No	NA	Not stated	Background list, FDR	Yes	FDR for GO & KEGG provided in suppl	
PMC6584348	1108	Sameer	J Cancer	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6584401	1109	Sameer	J Cancer	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	No	FDR provided in suppl	
PMC6584401	1109	Sameer	J Cancer	Database	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No		
PMC6584416	1110	Sameer	J Cancer	Gene expression array	Homo sapiens	Biocarta	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No		
PMC6584424	1111	Sameer	J Cancer	RNA-seq, DNA methylation	Homo sapiens	Inoh, Pid, Biocarta, Netpath, Humancyc, Kegg, Wikipathways, Smpdb, Pharmgkb, Ehmn, and Signalink	No	Not stated	No	ConsensusPathDB	No	NA	Not stated	Background list, FDR	No		
PMC6584487	1112	Sameer	J Cell Mol Med	Database	Rattus norvegicus	GO, KEGG	No	Fisher	No	FunRich	No	NA	Not stated	Background list, FDR	No	FDR for KEGG provided in suppl	
PMC6584587	1113	Sameer	Sci Rep	Gene expression array	Homo sapiens	MetaCore Ontologies	No	hypergeometric	Yes	MetaCore/MetaBase (GeneGo)	Yes	NA	Not stated	Background list	Yes	Metacore/Metabase is one tool powered by GeneGo	
PMC6584610	1114	Sameer	3 Biotech	RNA-seq	Brassica rapa	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background list	Yes		
PMC6584928	1115	Sameer	J Cancer	Genome sequening	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes	FDR provided in suppl	
PMC6585076	1116	Sameer	Clin Epigenetics	DNA methylation	Homo sapiens	GO	No	hypergeometric	Yes	GREAT	No	NA	Not stated	Background list	No		
PMC6585082	1117	Sameer	J Transl Med	Gene expression array	Homo sapiens	GO	No	Not stated	No	GOrilla 	No	NA	Not stated	Background list, FDR	No		
PMC6585082	1117	Sameer	J Transl Med	Gene expression array	Homo sapiens	GO	No	Not stated	No	PANTHER	Yes	NA	Not stated	Background list, FDR	No		
PMC6585089	1118	Sameer	BMC Psychiatry	DNA methylation	Homo sapiens	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background list	Yes		
PMC6585500	1119	Sameer	Appl Environ Microbiol	RNA-seq, DNA-Seq	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	Does not include any gene set testing	
PMC6585899	1120	Sameer	PeerJ	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background list, FDR	No		
PMC6586291	1121	Sameer	PLoS One	Metabolomics, lipidomics	Homo sapiens	KEGG	No	MSEA	Yes	MetaboAnalyst	Yes	NA	NA	No	No		
PMC6586766	1122	Sameer	J Stem Cells Regen Med	Gene expression array	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	No		
PMC6586842	1123	Sameer	Sci Rep	RNA-seq	Saccharum spp	GO	No	Fisher	Yes	GenFam	No	NA	Not stated	Background list	Yes		
PMC6587019	1124	Sameer	Mol Genet Metab Rep	PCR array	Mus musculus	GO, KEGG, Reactome	No	hypergeometric	Yes	MiRNet	No	NA	Not stated	Background list	Yes		
PMC6587623	1125	Sameer	Medicine (Baltimore)	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background list, FDR	Yes		
PMC6587650	1126	Sameer	Med Sci Monit	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background list	Yes		
PMC6588417	1127	Sameer	Breast Cancer Res Treat	Metabolomics	Homo sapiens	The Human Metabolome Database	Yes	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background list, FDR	Yes		
PMC6588443	1128	Sameer	Neurobiol Dis	RNA-seq	Mus musculus	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background list	Yes		
PMC6588588	1129	Sameer	Sci Rep	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Let's exclude this methods paper	
PMC6588665	1130	Sameer	3 Biotech	RNA-seq	Oryza sativa	GO, KEGG	No	Not stated	Yes	KOBAS	Yes	NA	Stated but incorrect	Background list	No		
PMC6588687	1131	Sameer	Sci Rep	RNA-seq	Malus domestica	KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background list, FDR	No		
PMC6588900	1132	Sameer	BMC Genomics	RNA-seq	Capra aegagrus hircus	GO, KEGG	No	Not stated	No	Goatools	No	NA	Not stated	Background list, FDR	Yes	FDR provided in suppl	
PMC6588900	1132	Sameer	BMC Genomics	RNA-seq	Capra aegagrus hircus	GO, KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background list, FDR	Yes	FDR provided in suppl	
PMC6589209	1133	Sameer	Stem Cells Int	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	Exclude	No omics used, no enrichment analysis. 	
PMC6589736	1134	Sameer	World J Gastroenterol	Proteomics	Rattus norvegicus	GO	No	No test	No	DAVID	No	NA	Not stated	Inference without test	Yes		
PMC6589736	1134	Sameer	World J Gastroenterol	Proteomics	Rattus norvegicus	GO	No	Not stated	No	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background list, FDR	Yes		
PMC6590108	1135	Sameer	Front Oncol	RNA-seq	Homo sapiens	MSigDB	Yes	ssGSEA, GVSA	Yes	GSEA	No	NA	NA	No	Yes	single-sample gene set enrichment analysis (ssGSEA) method and the gene set variation analysis (GSVA)	
PMC6590482	1136	Sameer	PeerJ	Gene expression array	Homo sapiens	GO, Reactome	No	hypergeometric, GSEA	Yes	clusterProfiler	No	NA	Yes	No	Yes	C2.all.v6.2.symbols.gmt was selected as the reference gene set	
PMC6590534	1137	Sameer	Biomed Res Int	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	No	Background list, FDR	Yes		
PMC6590641	1138	Sameer	PeerJ	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	NA	No	Background list, FDR	No		
PMC6590983	1139	Sameer	PLoS One	RNA-seq	Gossypium hirsutum	GO, KEGG	No	Singular Enrichment Analysis (SEA)	Yes	AgriGO	Yes	NA	No	Background list	No	754 DEGs provided as fig in the article with no details like logFc, pval, qval.....	
PMC6591031	1140	Sameer	Brain Behav Immun	RNA-seq	Mus musculus	GO	No	Not stated	No	DAVID	No	NA	No	Background list, FDR	Yes		
