Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
Plants (Basel)	RNA-seq	Citrus sinensis	GO, KEGG	No	Not stated	No	Blast2GO	Yes	NA	Not stated	Background, FDR	No
Arch Med Sci	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Clin Epigenetics	DNA methylation array	Homo sapiens	GO, KEGG, WikiPathways, Reactome	No	Not stated	No	SetRank	No	NA	Not stated	Background, FDR	No
BMC Plant Biol	RNA-seq	Brassica napus	GO	No	Not stated	No	GOseq	No	NA	Not stated	Background, FDR	Yes
BMC Plant Biol	RNA-seq	Brassica napus	KEGG	No	Not stated	No	KOBAS	Yes	NA	Not stated	Background, FDR	Yes
BMC Plant Biol	RNA-seq	Brassica napus	MapMan	Yes	Not stated	No	MapMan	Yes	NA	Not stated	Background, FDR	Yes
Front Physiol	Proteomics	Rattus norvegicus	Ingenuity Knowledge Base	No	Fisher	Yes	Ingenuity Pathway Analysis	No	NA	No	Background	Yes
Sci Rep	Database	Homo sapiens	Not stated	No	Not stated	No	exRNA atlas	No	NA	Not stated	Inference without test	No
BMC Bioinformatics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Stem Cells Int	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Onco Targets Ther	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	No
Onco Targets Ther	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Onco Targets Ther	Database, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Biomed Res Int	Database	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	Yes
Mol Cancer	Gene expression array	Homo sapiens, Mus musculus	MetaCore	No	Not stated	No	GeneGo MetaCore	Yes	NA	Not stated	Background, FDR	No
PeerJ	Database, Gene expression array	Mus musculus	KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Oncoimmunology	RNA-seq, Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Sci Rep	Proteomics	Homo sapiens	GO, Reactome	No	Fisher	Yes	PANTHER	No	NA	Not stated	Background	No
Nat Commun	Genotyping array	Homo sapiens	Not stated	No	Not stated	Yes	PANTHER	No	NA	Not stated	Background	No
Biosci Rep	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Front Oncol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Cancer Cell Int	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	Yes	GSEA	No	NA	Not stated	Background	No
BMC Nephrol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Cancer Cell Int	Database	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	No
Cancer Cell Int	Database	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	No	Not stated	Background	No
Stem Cell Res Ther	DNA methylation array	Homo sapiens	MSigDB	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
PLoS One	RNA-seq	Populus deltoides	GO, KEGG	No	Hypergeometric	Yes	Not stated	No	NA	Not stated	Background	No
Front Genet	Genome sequencing	Homo sapiens	Jensen Diseases database	No	Fisher	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
Front Genet	RNA-seq	Gallus gallus	GO, KEGG	No	Not stated	No	KOBAS	No	NA	Not stated	Background, FDR	Yes
Int J Endocrinol	Database, RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Int J Endocrinol	Database, RNA-seq	Homo sapiens	Not stated	No	GSEA	Not stated	GSEA	Yes	NA	NA	No data shown	No
Cancer Cell Int	Database, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Cancer Cell Int	Database, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	FunRich	Yes	NA	Not stated	Background, FDR	Yes
Front Genet	RNA-seq	Homo sapiens	GO	No	Not stated	No	GOrilla	No	NA	Not stated	Background, FDR	No
Front Immunol	RNA-seq	Megalobrama amblycephala	GO, UniProt, KEGG	No	Fisher	Yes	Not stated	No	NA	Yes	No	No
Front Immunol	RNA-seq	Megalobrama amblycephala	KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PLoS One	RNA-seq	Nicotiana tabaccum, Nicotiana glutinosa	GO	No	Not stated	No	topGO	No	No	Not stated	Background, FDR	Yes
PLoS One	RNA-seq	Nicotiana tabaccum, Nicotiana glutinosa	KEGG	No	No test	No	Not stated	No	No	Not stated	Background, Inference without test	Yes
Medicine (Baltimore)	Database, RNA-seq	Homo sapiens	Not stated	No	GSEA	No	GSEA	Yes	NA	Not stated	Background, FDR	No
Sci Rep	Metabolomics	Bos taurus	MetaboLync	No	No test	NA	MetaboLync	NA	No	NA	Inference without test, Background	Yes
BMC Genomics	Gene expression array	Homo sapiens	GO, KEGG, Reactome	No	Fisher	No	clusterProfiler	No	No	Not stated	Background, FDR	No
BMC Genomics	RNA-seq	Bos taurus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
BMC Genomics	RNA-seq	Apis mellifera	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
PLoS One	RNA-seq	Arabidopsis thaliana	GO	No	Not stated	No	agriGO	No	NA	Yes	FDR	No
Transl Psychiatry	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Sci Rep	Database	Homo sapiens	GO, Reactome, DISEASES	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
J Cell Mol Med	Gene expression array	Mus musculus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Front Genet	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	No
Front Genet	Gene expression array	Homo sapiens	GO	No	Not stated	No	REVIGO	No	NA	Not stated	Background, FDR	No
BMC Musculoskelet Disord	Proteomics	Homo sapiens	GO	No	Not stated	No	PANTHER	Yes	NA	Not stated	Background, FDR	No
BMC Med Genomics	Database	Homo sapiens	GO, KEGG	No	Fisher	Yes	DAVID	Yes	NA	Not stated	Background	Yes
BMC Med Genomics	Database	Homo sapiens	HPO	No	Fisher	Yes	WebGestalt	No	NA	Not stated	Background	Yes
Front Oncol	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Front Oncol	Database	Homo sapiens	GO, KEGG	No	Not stated	No	GSEA	No	NA	Not stated	Background, FDR	No
Sci Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	NA	Not stated	Background, FDR	Yes
Aging (Albany NY)	Database	Homo sapiens	GO, KEGG, Reactome, PID	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
Aging (Albany NY)	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PeerJ	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PeerJ	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	Not stated	Background	Yes
PeerJ	RNA-seq	Ovis aries	GO, KEGG	No	Not stated	Yes	GOseq	No	NA	Not stated	Background, FDR	Yes
Onco Targets Ther	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Mol Clin Oncol	Metabolomics	Homo sapiens	MetaboAnalyst	Yes	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	Yes
Int J Med Sci	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	Yes
Technol Cancer Res Treat	Proteomics	Homo sapiens	GO	No	Fisher	No	Blast2GO	Yes	NA	Not stated	Background	No
Technol Cancer Res Treat	Proteomics	Homo sapiens	KEGG	No	Fisher	No	KOBAS	No	NA	Not stated	Background	No
Evid Based Complement Alternat Med	Database	Homo sapiens	GO	No	Hypergeometric	Yes	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	Yes
Oxid Med Cell Longev	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background, FDR	Yes
Cancer Inform	Database, Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
Environ Pollut	Metabolomics	Mus musculus	KEGG	No	Hypergeometric	Yes	clusterProfiler	No	No	Not stated	Background	Yes
Med Sci Monit	Database, Gene expression array	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
Med Sci Monit	Database, Gene expression array	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Med Sci Monit	Database, Gene expression array	Homo sapiens	GO, KEGG	No	GSVA	Yes	GSVA	No	NA	NA	No	No
3 Biotech	Database	Triticum aestivum, Arabidopsis thaliana	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background, FDR	Yes
3 Biotech	Database	Triticum aestivum, Arabidopsis thaliana	GO	No	Not stated	No	WEGO	No	No	Not stated	Background, FDR	Yes
Front Pharmacol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Redox Biol	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
Cancer Med	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Cancer Med	Database, RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Cancer Med	Database, RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	DOSE	No	NA	Not stated	Background	Yes
BMC Plant Biol	RNA-seq	Annona × atemoya	UniProt, KEGG, GO, COG	No	Not stated	Yes	BLASTx	No	NA	Yes	No	Yes
J Orthop Surg Res	Database, Gene expression array	Rattus norvegicus	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
BMC Genomics	Database	Gossypium hirsutum	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	Yes
BMC Genomics	Database	Gossypium hirsutum	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background, FDR	No
BMC Med Genet	Database, RNA-seq	Homo sapiens	KEGG	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO	No	Not stated	No	FunRich	No	NA	Not stated	Background, FDR	No
BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO	No	Not stated	No	ClueGO/Cytoscape	No	NA	Not stated	Background, FDR	No
BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DIANA-miRPath	No	NA	Not stated	Background, FDR	No
PLoS One	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Cancer Manag Res	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Front Microbiol	Metabolomics	Bos grunniens	KEGG	No	Fisher	Yes	Custom R script	No	No	Not stated	Background	Yes
Front Microbiol	Metabolomics	Bos grunniens	KEGG	No	Fisher	Yes	Custom R script	No	No	Not stated	Background	Yes
Int J Mol Sci	DNA methylation array	Homo sapiens	GO, Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Int J Mol Sci	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Int J Mol Sci	RNA-seq	Oryza sativa	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background	Yes
Int J Mol Sci	RNA-seq	Oryza sativa	KEGG	No	Hypergeometric	Yes	KOBAS	No	NA	Not stated	Background	Yes
Oncol Lett	Database, RNA-seq	Homo sapiens	GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
Int J Mol Sci	RNA-seq	Gossypium hirsutum, Gossypium arboreum, Gossypium barbadense	GO, KEGG	No	Hypergeometric	Yes	Not stated	No	NA	Not stated	Background	No
Oncol Lett	Database, Gene expression array	Homo sapiens	GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	Yes
Oncol Lett	Database, Gene expression array	Homo sapiens	KEGG, BioCarta	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	Yes
Int J Mol Sci	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
Int J Environ Res Public Health	Database	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database, Gene expression array	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	Not stated	Background, FDR	Yes
Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Hypergeometric	No	DAVID	No	NA	Not stated	Background, FDR	No
Oncol Lett	Database, Gene expression array	Homo sapiens	GO, KEGG	No	ANOVA	Yes	DAVID	No	NA	Not stated	Background	Yes
BMC Plant Biol	RNA-seq	Lolium temulentum	GO	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	Yes
J Transl Med	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	No
PLoS One	Database, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
J Assist Reprod Genet	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Sci Rep	RNA-seq	Mus musculus	GO, KEGG, WikiPathway	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
J Assist Reprod Genet	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	Yes
Evid Based Complement Alternat Med	Proteomics	Rattus norvegicus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background	Yes
Clin Proteomics	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Clin Proteomics	Proteomics	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
J Biol Rhythms	Gene expression array	Homo sapiens	Not stated	No	Not stated	Yes	PSEA	No	NA	Not stated	Background	No
PLoS One	RNA-seq	Drosophila	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	Yes
Biosci Rep	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
Biosci Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background	Yes
Biosci Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	No	GSEA	No	NA	Not stated	Background	Yes
Sci Rep	Database	Trollius chinensis Bunge	GO, KEGG	No	Not stated	No	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	Yes
J Adv Res	Database	Homo sapiens, Mus musculus	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
J Adv Res	Database	Homo sapiens, Mus musculus	Not stated	No	Not stated	No	Omicshare	No	NA	Not stated	Background, FDR	No
Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	WebGestalt	No	NA	Not stated	Background	Yes
Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	REVIGO	No	NA	Not stated	Background	Yes
Cancer Cell Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
PeerJ	RNA-seq	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	Yes
PeerJ	RNA-seq	Rattus norvegicus, Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Oncotarget	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
Oncotarget	Protein array	Homo sapiens	Ingenuity Knowledge Base, Pathway Commons	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Yes	FDR	Yes
Oncotarget	Protein array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
Oncotarget	Protein array	Homo sapiens	Ingenuity, Pathway Commons, KEGG, Reactome	No	Hypergeometric	Yes	WebGestalt	No	NA	Not stated	Background	Yes
Hortic Res	RNA-seq	Citrus sinensis	GO, KEGG	No	Hypergeometric	Yes	agriGO	No	NA	Not stated	Background	Yes
Hortic Res	RNA-seq	Citrus sinensis	GO, KEGG	No	Hypergeometric	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	Yes
BMC Med Genet	Database	Homo sapiens	KEGG	No	Fisher	No	DIANA-miRPath	Yes	NA	Not stated	Background, FDR	Yes
J Biol Eng	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	NA	NA	Not stated	Background	No
BMC Genomics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Rheumatol	Gene expression array	Homo sapiens	KEGG, Reactome	No	Not stated	Yes	Reactome FI/Cytoscape	No	NA	Not stated	Background	No
Genes Dis	Gene expression array	Mus musculus	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Clin Transplant	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
Acta Neuropathol Commun	DNA methylation array	Homo sapiens	GO	No	Not stated	Yes	Custom script	No	No	Not stated	No	No
Biomed Res Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PLoS One	RNA-seq	Danio rerio	GO, KEGG	No	Not stated	Yes	WebGestalt	No	NA	Yes	No	No
RNA Biol	Gene expression array	Homo sapiens	GO	No	No test	NA	WebGestalt	Yes	NA	Not stated	Inference without test, Background	Yes
RNA Biol	Gene expression array	Homo sapiens	GO	No	Not stated	Not stated	DAVID	Yes	NA	Not stated	Background	Yes
RNA Biol	Gene expression array	Homo sapiens	Enrichr	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	Yes
J Clin Invest	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
J Nutr Biochem	RNA-seq, DNA methylation sequencing	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background	No
Oncol Lett	Gene expression array	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
Oncol Lett	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	NA	Not stated	Background	No
Int J Mol Sci	RNA-seq	Homo sapiens	GO, KEGG, Reactome	No	Hypergeometric	Yes	CPDB	No	NA	Not stated	Background	Yes
BMC Genomics	RNA-seq	Zea mays, Oryza sativa	GO	No	Hypergeometric	No	agriGO	Yes	NA	Yes	FDR	Yes
BMC Cancer	Gene expression array, RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Front Immunol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
J Cancer	Genome sequencing	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	Yes	No	Not stated	Background, FDR	No
J Cancer	Gene expression array	Homo sapiens	GO, KEGG	No	Hypergeometric	No	Custom R script	Yes	No	Not stated	Background, FDR	Yes
Islets	Gene expression array	Mus musculus	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
Mult Scler Relat Disord	Gene expression array, Metabolomics	Homo sapiens	GO, HMDB, PubChem	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Yes	FDR	Yes
Ann Epidemiol	Genome sequencing	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	No	Not stated	Background, FDR	No
Breast Cancer Res Treat	Gene expression array	Homo sapiens	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
3 Biotech	RNA-seq	Anas platyrhynchos	GO, KEGG	No	Hypergeometric	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
Front Physiol	Proteomics	Capra aegagrus hircus	GO, KEGG	No	Not stated	No	PANTHER	No	No	Not stated	Background, FDR	No
Mol Cell Biochem	Proteomics	Mus musculus	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	FDR	No
Oncol Rep	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	FDR	No
Oncol Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
Cancer Cell Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
Cancer Cell Int	RNA-seq	Homo sapiens	MSigDB	No	GSEA	No	GSEA	No	NA	NA	Background	No
Front Oncol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
Onco Targets Ther	RNA-seq	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	No	NA	No	No
Onco Targets Ther	Gene expression array, miRNA expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
Onco Targets Ther	RNA-seq	Homo sapiens	GO, KEGG	No	No test	No	Not stated	No	NA	Not stated	Background, FDR	No
Cancer Manag Res	RNA-seq, Genome sequencing	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	Not stated	Background, FDR	No
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Cancer Manag Res	Gene expression array, RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
Cancer Manag Res	Gene expression array, RNA-seq	Homo sapiens	KEGG, MSigDB	Yes	GSEA	Yes	GSEA	Yes	No	NA	No	No
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
Technol Cancer Res Treat	RNA-seq	Homo sapiens	GO, KEGG	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
