"Pubmed.Central.ID"	"Article.number"	"Allocated"	"Journal"	"Omics.type"	"Organism"	"Gene.set.library"	"GS.version"	"Statistical.test.used"	"FDR.Correction"	"App.used"	"App.Version"	"Code.availability"	"Background.gene.set"	"Assumptions.violated"	"Gene.lists.provided"	"scores"
"1002"	"PMC6538947"	868	"Kaushalya"	"Front Microbiol"	"Metabolomics"	"Bos grunniens"	"KEGG"	"No"	"Fisher"	"Yes"	"Custom R script"	"No"	"No"	"Not stated"	"Background"	"Yes"	-2
"1003"	"PMC6538947"	868	"Kaushalya"	"Front Microbiol"	"Metabolomics"	"Bos grunniens"	"KEGG"	"No"	"Fisher"	"Yes"	"Custom R script"	"No"	"No"	"Not stated"	"Background"	"Yes"	-2
"1004"	"PMC6539236"	869	"Kaushalya"	"Int J Mol Sci"	"DNA methylation array"	"Homo sapiens"	"GO, Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1005"	"PMC6539328"	870	"Kaushalya"	"Int J Mol Sci"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1006"	"PMC6539486"	871	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1007"	"PMC6539487"	872	"Kaushalya"	"Int J Mol Sci"	"RNA-seq"	"Oryza sativa"	"GO"	"No"	"Hypergeometric"	"Yes"	"GOseq"	"No"	"No"	"Not stated"	"Background"	"Yes"	-2
"1008"	"PMC6539487"	872	"Kaushalya"	"Int J Mol Sci"	"RNA-seq"	"Oryza sativa"	"KEGG"	"No"	"Hypergeometric"	"Yes"	"KOBAS"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1009"	"PMC6539490"	873	"Kaushalya"	"Oncol Lett"	"Database, RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1010"	"PMC6539811"	874	"Kaushalya"	"Int J Mol Sci"	"RNA-seq"	"Gossypium hirsutum, Gossypium arboreum, Gossypium barbadense"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1011"	"PMC6539991"	875	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1012"	"PMC6539991"	875	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"KEGG, BioCarta"	"No"	"Not stated"	"Yes"	"ToppGene"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1013"	"PMC6540047"	876	"Kaushalya"	"Int J Mol Sci"	"Gene expression array"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1014"	"PMC6540048"	877	"Kaushalya"	"Int J Environ Res Public Health"	"Database"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"1015"	"PMC6540079"	878	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"KEGG"	"No"	"GSEA"	"No"	"GSEA"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-2
"1016"	"PMC6540325"	879	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"1017"	"PMC6540330"	880	"Kaushalya"	"Oncol Lett"	"Database"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1018"	"PMC6540339"	881	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Hypergeometric"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1019"	"PMC6540341"	882	"Kaushalya"	"Oncol Lett"	"Database, Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"ANOVA"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1020"	"PMC6540478"	883	"Kaushalya"	"BMC Plant Biol"	"RNA-seq"	"Lolium temulentum"	"GO"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"Yes"	-4
"1021"	"PMC6540543"	884	"Kaushalya"	"J Transl Med"	"Database, Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Fisher"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1022"	"PMC6541473"	885	"Kaushalya"	"PLoS One"	"Database, RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"Yes"	"No"	"Not stated"	"Background"	"No"	-3
"1023"	"PMC6541584"	886	"Kaushalya"	"J Assist Reprod Genet"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1024"	"PMC6541629"	887	"Kaushalya"	"Sci Rep"	"RNA-seq"	"Mus musculus"	"GO, KEGG, WikiPathway"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1026"	"PMC6541990"	889	"Kaushalya"	"Evid Based Complement Alternat Med"	"Proteomics"	"Rattus norvegicus"	"GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background"	"Yes"	-5
"1027"	"PMC6542032"	890	"Kaushalya"	"Clin Proteomics"	"Proteomics"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1028"	"PMC6542032"	890	"Kaushalya"	"Clin Proteomics"	"Proteomics"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-2
"1029"	"PMC6542471"	891	"Kaushalya"	"J Biol Rhythms"	"Gene expression array"	"Homo sapiens"	"Not stated"	"No"	"Not stated"	"Yes"	"PSEA"	"No"	NA	"Not stated"	"Background"	"No"	-5
"1030"	"PMC6542536"	892	"Kaushalya"	"PLoS One"	"RNA-seq"	"Drosophila"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"Yes"	-4
"1032"	"PMC6542763"	894	"Kaushalya"	"Biosci Rep"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-3
"1033"	"PMC6542763"	894	"Kaushalya"	"Biosci Rep"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"No"	"GSEA"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1034"	"PMC6542797"	895	"Kaushalya"	"Sci Rep"	"Database"	"Trollius chinensis Bunge"	"GO, KEGG"	"No"	"Not stated"	"No"	"ClueGO/Cytoscape"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"1035"	"PMC6543129"	896	"Kaushalya"	"J Adv Res"	"Database"	"Homo sapiens, Mus musculus"	"Not stated"	"No"	"Not stated"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1036"	"PMC6543129"	896	"Kaushalya"	"J Adv Res"	"Database"	"Homo sapiens, Mus musculus"	"Not stated"	"No"	"Not stated"	"No"	"Omicshare"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1040"	"PMC6543669"	898	"Kaushalya"	"Cancer Cell Int"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"1041"	"PMC6544013"	899	"Kaushalya"	"PeerJ"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1042"	"PMC6544125"	900	"Kaushalya"	"PeerJ"	"RNA-seq"	"Rattus norvegicus, Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"1043"	"PMC6544403"	901	"Sameer"	"Oncotarget"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1047"	"PMC6544638"	903	"Sameer"	"Hortic Res"	"RNA-seq"	"Citrus sinensis"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"agriGO"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1048"	"PMC6544638"	903	"Sameer"	"Hortic Res"	"RNA-seq"	"Citrus sinensis"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"ClueGO/Cytoscape"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1049"	"PMC6544937"	904	"Sameer"	"BMC Med Genet"	"Database"	"Homo sapiens"	"KEGG"	"No"	"Fisher"	"No"	"DIANA-miRPath"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-2
"1050"	"PMC6544974"	905	"Sameer"	"J Biol Eng"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	NA	NA	"Not stated"	"Background"	"No"	-4
"1052"	"PMC6545268"	907	"Sameer"	"J Rheumatol"	"Gene expression array"	"Homo sapiens"	"KEGG, Reactome"	"No"	"Not stated"	"Yes"	"Reactome FI/Cytoscape"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1053"	"PMC6545444"	908	"Sameer"	"Genes Dis"	"Gene expression array"	"Mus musculus"	"GO, KEGG"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1054"	"PMC6545574"	909	"Sameer"	"Clin Transplant"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-5
"1055"	"PMC6545689"	910	"Sameer"	"Acta Neuropathol Commun"	"DNA methylation array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Yes"	"Custom script"	"No"	"No"	"Not stated"	"No"	"No"	-4
"1056"	"PMC6545785"	911	"Sameer"	"Biomed Res Int"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1057"	"PMC6546218"	912	"Sameer"	"PLoS One"	"RNA-seq"	"Danio rerio"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"WebGestalt"	"No"	NA	"Yes"	"No"	"No"	-3
"1061"	"PMC6546480"	914	"Sameer"	"J Clin Invest"	"Gene expression array"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"No"	"No"	-2
"1062"	"PMC6546543"	915	"Sameer"	"J Nutr Biochem"	"RNA-seq, DNA methylation sequencing"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"Yes"	NA	"Not stated"	"Background"	"No"	-3
"1063"	"PMC6546979"	916	"Sameer"	"Oncol Lett"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1065"	"PMC6547356"	918	"Sameer"	"Int J Mol Sci"	"RNA-seq"	"Homo sapiens"	"GO, KEGG, Reactome"	"No"	"Hypergeometric"	"Yes"	"CPDB"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1066"	"PMC6547493"	919	"Sameer"	"BMC Genomics"	"RNA-seq"	"Zea mays, Oryza sativa"	"GO"	"No"	"Hypergeometric"	"No"	"agriGO"	"Yes"	NA	"Yes"	"FDR"	"Yes"	-1
"1067"	"PMC6547586"	920	"Sameer"	"BMC Cancer"	"Gene expression array, RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1068"	"PMC6547838"	921	"Sameer"	"Front Immunol"	"Gene expression array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1069"	"PMC6548007"	922	"Sameer"	"J Cancer"	"Genome sequencing"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"Yes"	"No"	"Not stated"	"Background, FDR"	"No"	-4
"1070"	"PMC6548156"	923	"Sameer"	"J Cancer"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Hypergeometric"	"No"	"Custom R script"	"Yes"	"No"	"Not stated"	"Background, FDR"	"Yes"	-2
"1071"	"PMC6548476"	924	"Sameer"	"Islets"	"Gene expression array"	"Mus musculus"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"Yes"	NA	NA	"No"	"No"	0
"1072"	"PMC6548586"	925	"Sameer"	"Mult Scler Relat Disord"	"Gene expression array, Metabolomics"	"Homo sapiens"	"GO, HMDB, PubChem"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Yes"	"FDR"	"Yes"	-3
"1073"	"PMC6548637"	926	"Sameer"	"Ann Epidemiol"	"Genome sequencing"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"No"	"GSEA"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"1076"	"PMC6548822"	929	"Sameer"	"Front Physiol"	"Proteomics"	"Capra aegagrus hircus"	"GO, KEGG"	"No"	"Not stated"	"No"	"PANTHER"	"No"	"No"	"Not stated"	"Background, FDR"	"No"	-5
"1077"	"PMC6548868"	930	"Sameer"	"Mol Cell Biochem"	"Proteomics"	"Mus musculus"	"GO, KEGG"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"No"	"Background, FDR"	"No"	-4
"1078"	"PMC6549072"	931	"Sameer"	"Oncol Rep"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"1083"	"PMC6549376"	934	"Sameer"	"Cancer Cell Int"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1084"	"PMC6549376"	934	"Sameer"	"Cancer Cell Int"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	NA	"Background"	"No"	-3
"1085"	"PMC6549402"	935	"Sameer"	"Front Oncol"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-4
"1086"	"PMC6549486"	936	"Sameer"	"Onco Targets Ther"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"Yes"	"No"	NA	"No"	"No"	0
"1088"	"PMC6549776"	938	"Sameer"	"Onco Targets Ther"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"No test"	"No test"	"Not stated"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1089"	"PMC6549782"	939	"Sameer"	"Cancer Manag Res"	"RNA-seq, Genome sequencing"	"Homo sapiens"	"Not stated"	"No"	"GSEA"	"No"	"GSEA"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-5
"1093"	"PMC6551448"	943	"Sameer"	"Cancer Manag Res"	"Gene expression array, RNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"1094"	"PMC6551448"	943	"Sameer"	"Cancer Manag Res"	"Gene expression array, RNA-seq"	"Homo sapiens"	"KEGG, MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"Yes"	"No"	NA	"No"	"No"	0
"1100"	"PMC6552362"	949	"Sameer"	"Technol Cancer Res Treat"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Fisher"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"1112"	"PMC6553932"	961	"Sameer"	"PeerJ"	"Proteomics"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Not stated"	"PANTHER"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1113"	"PMC6553932"	961	"Sameer"	"PeerJ"	"Proteomics"	"Homo sapiens"	"GO"	"No"	"Not stated"	"Not stated"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1114"	"PMC6554651"	962	"Sameer"	"Environ Entomol"	"RNA-seq"	"Apis mellifera"	"GO, KEGG"	"No"	"Fisher"	"Yes"	"DAVID"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-1
"1115"	"PMC6554673"	963	"Sameer"	"EMBO Mol Med"	"RNA-seq"	"Mus musculus"	"Ingenuity Knowledge Base"	"No"	"Not stated"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1116"	"PMC6554726"	964	"Sameer"	"Toxicol Appl Pharmacol"	"RNA-seq"	"Homo sapiens"	"GO, KEGG, Reactome"	"No"	"Fisher"	"No"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1117"	"PMC6554887"	965	"Sameer"	"BMC Urol"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"Yes"	"GSEA"	"Yes"	"GSEA"	"No"	NA	"Not stated"	"Background"	"Yes"	-1
"1119"	"PMC6554998"	967	"Sameer"	"BMC Plant Biol"	"Proteomics"	"Carica papaya"	"GO, KEGG"	"No"	"Fisher"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-4
"1121"	"PMC6555482"	969	"Sameer"	"Environ Int"	"Metabolomics"	"Homo sapiens"	"Mummichog"	"No"	"Not stated"	"No"	"Mummichog"	"No"	NA	"Not stated"	"Background"	"No"	-5
"1122"	"PMC6555741"	970	"Sameer"	"Nutr Metab (Lond)"	"Gene expression array"	"Homo sapiens"	"DO, GO, KEGG"	"No"	"Not stated"	"Yes"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background"	"Yes"	-3
"1123"	"PMC6555824"	971	"Sameer"	"Hortic Res"	"miRNA-seq"	"Malus domestica, Malus sieversii"	"GO"	"No"	"Not stated"	"Not stated"	"agriGO"	"Yes"	NA	"Yes"	"Inference without test, No data shown"	"Yes"	-2
"1124"	"PMC6555970"	972	"Sameer"	"Hum Genomics"	"Genome sequencing"	"Vertebrata"	"GO, Reactome"	"No"	"Not stated"	"Yes"	"PANTHER"	"Yes"	NA	"Yes"	"No"	"Yes"	-1
"1126"	"PMC6556066"	974	"Sameer"	"Med Sci Monit"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"Inference without test, Background"	"No"	-2
"1127"	"PMC6556108"	975	"Sameer"	"Drug Des Devel Ther"	"RNA-seq"	"Rattus norvegicus"	"GO, KEGG"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1128"	"PMC6556164"	976	"Sameer"	"3 Biotech"	"RNA-seq"	"Camellia oleifera"	"GO, KEGG, Swiss-Prot, KOG, PFAM"	"No"	"Hypergeometric"	"Yes"	"KAAS"	"No"	NA	"Not stated"	"Background"	"No"	-3
"1129"	"PMC6556321"	977	"Sameer"	"Biomed Res Int"	"Proteomics"	"Homo sapiens"	"Reactome, GO"	"No"	"Not stated"	"No"	"PANTHER"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
"1130"	"PMC6556321"	977	"Sameer"	"Biomed Res Int"	"Proteomics"	"Homo sapiens"	"Reactome, GO"	"No"	"Not stated"	"No"	"STRING"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-4
"1131"	"PMC6556668"	978	"Sameer"	"Am J Transl Res"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"ClueGO/Cytoscape"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1132"	"PMC6556668"	978	"Sameer"	"Am J Transl Res"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Hypergeometric"	"Yes"	"NetworkAnalyst"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1134"	"PMC6557558"	980	"Sameer"	"Epigenetics"	"DNA methylation array"	"Homo sapiens"	"GO"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-2
"1135"	"PMC6557558"	980	"Sameer"	"Epigenetics"	"DNA methylation array"	"Homo sapiens"	"GO"	"No"	"Fisher"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-2
"1136"	"PMC6557606"	981	"Sameer"	"Epigenetics"	"DNA methylation sequencing"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"missMethyl R package"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"1139"	"PMC6557731"	983	"Sameer"	"Data Brief"	"RNA-seq"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"Fisher"	"Yes"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background"	"No"	-3
"1140"	"PMC6557785"	984	"Sameer"	"EBioMedicine"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1141"	"PMC6557785"	984	"Sameer"	"EBioMedicine"	"RNA-seq"	"Homo sapiens"	"MSigDB"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	"Not stated"	"No"	"Yes"	-2
"1142"	"PMC6558442"	985	"Sameer"	"World J Gastroenterol"	"Database"	"Mus musculus"	"Not stated"	"No"	"Not stated"	"No"	"ClueGO/Cytoscape"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1143"	"PMC6558586"	986	"Sameer"	"Cancer Med"	"Gene expression array"	"Homo sapiens"	"GO, KEGG"	"No"	"Fisher, Chi-squared"	"Yes"	"Not stated"	"No"	"No"	"Not stated"	"Background"	"No"	-4
"1144"	"PMC6558594"	987	"Sameer"	"Cancer Med"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"clusterProfiler"	"No"	"No"	"Not stated"	"Background, FDR"	"Yes"	-4
"1145"	"PMC6558597"	988	"Sameer"	"Cancer Med"	"Gene expression array"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Not stated"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-6
"1146"	"PMC6558604"	989	"Sameer"	"Mediators Inflamm"	"Cytokine array"	"Homo sapiens"	"Ingenuity Knowledge Base"	"No"	"No test"	"No test"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	NA	-5
"1147"	"PMC6558614"	990	"Sameer"	"Evid Based Complement Alternat Med"	"Database"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"DAVID"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1148"	"PMC6558619"	991	"Sameer"	"Biomed Res Int"	"RNA-seq"	"Homo sapiens"	"GO, KEGG"	"No"	"Not stated"	"Yes"	"Not stated"	"No"	NA	"Not stated"	"Background"	"No"	-5
"1149"	"PMC6558708"	992	"Sameer"	"BMC Genomics"	"RNA-seq"	"Agave tequilana"	"GO"	"No"	"Not stated"	"Yes"	"agriGO"	"No"	NA	"Yes"	"No"	"No"	-3
"1150"	"PMC6558770"	993	"Sameer"	"BMC Vet Res"	"Database"	"Canis lupus familiaris"	"WikiPathways"	"No"	"No test"	"No test"	"Cytoscape (No plugin stated)"	"Yes"	NA	"Not stated"	"Inference without test, Background"	"Yes"	-3
"1151"	"PMC6558878"	994	"Sameer"	"BMC Med Genet"	"RNA-seq"	"Homo sapiens"	"KEGG"	"No"	"Not stated"	"Yes"	"GSEA"	"No"	NA	"Not stated"	"Background"	"Yes"	-3
"1152"	"PMC6559211"	995	"Sameer"	"Front Genet"	"RNA-seq"	"Homo sapiens"	"GO, KEGG, Reactome, WikiPathways, BioCarta"	"Yes"	"Fisher"	"Yes"	"Enrichr"	"No"	NA	"Not stated"	"Background"	"Yes"	-1
"1155"	"PMC6559329"	997	"Sameer"	"Int J Mol Med"	"Proteomics"	"Rattus norvegicus"	"GO"	"No"	"Fisher"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"No"	-4
"1156"	"PMC6559957"	998	"Sameer"	"Sci Rep"	"RNA-seq"	"Ovis aries"	"GO"	"No"	"Hypergeometric"	"Yes"	"GOseq"	"Yes"	"No"	"Not stated"	"Background"	"Yes"	-1
"1157"	"PMC6559957"	998	"Sameer"	"Sci Rep"	"RNA-seq"	"Ovis aries"	"KEGG"	"No"	"Hypergeometric"	"Yes"	"KOBAS"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-1
"1159"	"PMC6560635"	1000	"Sameer"	"Nat Genet"	"Genotyping array"	"Homo sapiens"	"KEGG, Reactome, BioCarta"	"No"	"Pascal"	"Yes"	"Pascal"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1160"	"PMC6560861"	1001	"Sameer"	"BMC Plant Biol"	"RNA-seq"	"Triticum aestivum"	"GO, KEGG, KOG"	"No"	"Hypergeometric"	"Yes"	"Blast2GO"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1161"	"PMC6560914"	1002	"Sameer"	"BMC Cancer"	"Gene expression array"	"Homo sapiens"	"MSigDB, KEGG, PID, BioCarta"	"No"	"GSEA"	"Yes"	"GSEA"	"No"	NA	NA	"Background"	"Yes"	-1
"1162"	"PMC6561249"	1003	"Sameer"	"Proc Natl Acad Sci U S A"	"Genome sequencing"	"Various order Chiroptera"	"GO"	"No"	"Not stated"	"Yes"	"STRING"	"Yes"	NA	"Not stated"	"Background"	"Yes"	-2
"1163"	"PMC6561812"	1004	"Sameer"	"Psychiatry Clin Neurosci"	"DNA methylation array"	"Homo sapiens"	"KEGG"	"No"	"Hypergeometric"	"Yes"	"missMethyl"	"No"	NA	"Not stated"	"Background"	"Yes"	-2
"1164"	"PMC6561911"	1005	"Sameer"	"Cell Death Discov"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"DAVID"	"Yes"	NA	"Not stated"	"Background, FDR"	"Yes"	-3
"1165"	"PMC6561911"	1005	"Sameer"	"Cell Death Discov"	"RNA-seq"	"Homo sapiens"	"GO"	"No"	"Not stated"	"No"	"Ingenuity Pathway Analysis"	"No"	NA	"Not stated"	"Background, FDR"	"Yes"	-4
