Pubmed Central ID	Article number	Allocated	Journal	Omics type	Organism	Gene set library	GS version	Statistical test used	FDR Correction	App used	App Version	Code availability	Background gene set	Assumptions violated	Gene lists provided
PMC6532243	833	Kaushalya	BMC Genomics	RNA-seq	Apis mellifera	GO	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
PMC6532887	834	Kaushalya	PLoS One	RNA-seq	Arabidopsis thaliana	GO	No	Not stated	No	agriGO	No	NA	Yes	FDR	No
PMC6533277	835	Kaushalya	Transl Psychiatry	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
PMC6533287	836	Kaushalya	Sci Rep	Database	Homo sapiens	GO, Reactome, DISEASES	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
PMC6533480	837	Kaushalya	J Cell Mol Med	Gene expression array	Mus musculus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
PMC6533571	838	Kaushalya	Front Genet	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	No
PMC6533571	838	Kaushalya	Front Genet	Gene expression array	Homo sapiens	GO	No	Not stated	No	REVIGO	No	NA	Not stated	Background, FDR	No
PMC6533725	839	Kaushalya	BMC Musculoskelet Disord	Proteomics	Homo sapiens	GO	No	Not stated	No	PANTHER	Yes	NA	Not stated	Background, FDR	No
PMC6533741	840	Kaushalya	BMC Med Genomics	Database	Homo sapiens	GO, KEGG	No	Fisher	Yes	DAVID	Yes	NA	Not stated	Background	Yes
PMC6533741	840	Kaushalya	BMC Med Genomics	Database	Homo sapiens	HPO	No	Fisher	Yes	WebGestalt	No	NA	Not stated	Background	Yes
PMC6533882	841	Kaushalya	Front Oncol	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6533882	841	Kaushalya	Front Oncol	Database	Homo sapiens	GO, KEGG	No	Not stated	No	GSEA	No	NA	Not stated	Background, FDR	No
PMC6534579	842	Kaushalya	Sci Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	NA	Not stated	Background, FDR	Yes
PMC6535055	843	Kaushalya	Aging (Albany NY)	Database	Homo sapiens	GO, KEGG, Reactome, PID	No	Not stated	No	Enrichr	No	NA	Not stated	Background, FDR	Yes
PMC6535056	844	Kaushalya	Aging (Albany NY)	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6535219	845	Kaushalya	PeerJ	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6535219	845	Kaushalya	PeerJ	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	Yes	NA	Not stated	Background	Yes
PMC6535221	846	Kaushalya	PeerJ	RNA-seq	Ovis aries	GO, KEGG	No	Not stated	Yes	GOseq	No	NA	Not stated	Background, FDR	Yes
PMC6535430	847	Kaushalya	Onco Targets Ther	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6535638	848	Kaushalya	Mol Clin Oncol	Metabolomics	Homo sapiens	MetaboAnalyst	Yes	Not stated	No	MetaboAnalyst	Yes	NA	Not stated	Background, FDR	Yes
PMC6535665	849	Kaushalya	Int J Med Sci	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	Yes
PMC6535743	850	Kaushalya	Technol Cancer Res Treat	Proteomics	Homo sapiens	GO	No	Fisher	No	Blast2GO	Yes	NA	Not stated	Background	No
PMC6535743	850	Kaushalya	Technol Cancer Res Treat	Proteomics	Homo sapiens	KEGG	No	Fisher	No	KOBAS	No	NA	Not stated	Background	No
PMC6535852	851	Kaushalya	Evid Based Complement Alternat Med	Database	Homo sapiens	GO	No	Hypergeometric	Yes	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	Yes
PMC6535875	852	Kaushalya	Oxid Med Cell Longev	RNA-seq	Sus scrofa	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background, FDR	Yes
PMC6535899	853	Kaushalya	Cancer Inform	Database, Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
PMC6536002	854	Kaushalya	Environ Pollut	Metabolomics	Mus musculus	KEGG	No	Hypergeometric	Yes	clusterProfiler	No	No	Not stated	Background	Yes
PMC6536036	855	Kaushalya	Med Sci Monit	Database, Gene expression array	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6536036	855	Kaushalya	Med Sci Monit	Database, Gene expression array	Homo sapiens	GO, KEGG	No	GSVA	Yes	GSVA	No	NA	NA	No	No
PMC6536565	856	Kaushalya	3 Biotech	Database	Triticum aestivum, Arabidopsis thaliana	GO	No	Not stated	No	Blast2GO	No	No	Not stated	Background, FDR	Yes
PMC6536565	856	Kaushalya	3 Biotech	Database	Triticum aestivum, Arabidopsis thaliana	GO	No	Not stated	No	WEGO	No	No	Not stated	Background, FDR	Yes
PMC6536578	857	Kaushalya	Front Pharmacol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
PMC6536746	858	Kaushalya	Redox Biol	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	No
PMC6536925	859	Kaushalya	Cancer Med	Database	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6536941	860	Kaushalya	Cancer Med	Database, RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6536941	860	Kaushalya	Cancer Med	Database, RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	DOSE	No	NA	Not stated	Background	Yes
PMC6537181	861	Kaushalya	BMC Plant Biol	RNA-seq	Annona × atemoya	UniProt, KEGG, GO, COG	No	Not stated	Yes	BLASTx	No	NA	Yes	No	Yes
PMC6537194	862	Kaushalya	J Orthop Surg Res	Database, Gene expression array	Rattus norvegicus	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6537205	863	Kaushalya	BMC Genomics	Database	Gossypium hirsutum	GO	No	Hypergeometric	No	GOseq	No	No	Not stated	Background, FDR	Yes
PMC6537205	863	Kaushalya	BMC Genomics	Database	Gossypium hirsutum	KEGG	No	Not stated	Yes	KOBAS	No	NA	Not stated	Background, FDR	No
PMC6537382	864	Kaushalya	BMC Med Genet	Database, RNA-seq	Homo sapiens	KEGG	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6537399	865	Kaushalya	BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO	No	Not stated	No	FunRich	No	NA	Not stated	Background, FDR	No
PMC6537399	865	Kaushalya	BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO	No	Not stated	No	ClueGO/Cytoscape	No	NA	Not stated	Background, FDR	No
PMC6537399	865	Kaushalya	BMC Med Genomics	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DIANA-miRPath	No	NA	Not stated	Background, FDR	No
PMC6538180	866	Kaushalya	PLoS One	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6538884	867	Kaushalya	Cancer Manag Res	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6538947	868	Kaushalya	Front Microbiol	Metabolomics	Bos grunniens	KEGG	No	Fisher	Yes	Custom R script	No	No	Not stated	Background	Yes
PMC6538947	868	Kaushalya	Front Microbiol	Metabolomics	Bos grunniens	KEGG	No	Fisher	Yes	Custom R script	No	No	Not stated	Background	Yes
PMC6539236	869	Kaushalya	Int J Mol Sci	DNA methylation array	Homo sapiens	GO, Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
PMC6539328	870	Kaushalya	Int J Mol Sci	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6539486	871	Kaushalya	Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
PMC6539487	872	Kaushalya	Int J Mol Sci	RNA-seq	Oryza sativa	GO	No	Hypergeometric	Yes	GOseq	No	No	Not stated	Background	Yes
PMC6539487	872	Kaushalya	Int J Mol Sci	RNA-seq	Oryza sativa	KEGG	No	Hypergeometric	Yes	KOBAS	No	NA	Not stated	Background	Yes
PMC6539490	873	Kaushalya	Oncol Lett	Database, RNA-seq	Homo sapiens	GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
PMC6539811	874	Kaushalya	Int J Mol Sci	RNA-seq	Gossypium hirsutum, Gossypium arboreum, Gossypium barbadense	GO, KEGG	No	Hypergeometric	Yes	Not stated	No	NA	Not stated	Background	No
PMC6539991	875	Kaushalya	Oncol Lett	Database, Gene expression array	Homo sapiens	GO	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	Yes
PMC6539991	875	Kaushalya	Oncol Lett	Database, Gene expression array	Homo sapiens	KEGG, BioCarta	No	Not stated	Yes	ToppGene	No	NA	Not stated	Background	Yes
PMC6540047	876	Kaushalya	Int J Mol Sci	Gene expression array	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
PMC6540048	877	Kaushalya	Int J Environ Res Public Health	Database	Mus musculus	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6540079	878	Kaushalya	Oncol Lett	Database, Gene expression array	Homo sapiens	KEGG	No	GSEA	No	GSEA	Yes	NA	Not stated	Background, FDR	Yes
PMC6540325	879	Kaushalya	Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6540330	880	Kaushalya	Oncol Lett	Database	Homo sapiens	GO, KEGG	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
PMC6540339	881	Kaushalya	Oncol Lett 	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Hypergeometric	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6540341	882	Kaushalya	Oncol Lett	Database, Gene expression array	Homo sapiens	GO, KEGG	No	ANOVA	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6540478	883	Kaushalya	BMC Plant Biol	RNA-seq	Lolium temulentum	GO	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	Yes
PMC6540543	884	Kaushalya	J Transl Med	Database, Gene expression array	Homo sapiens	GO, KEGG	No	Fisher	Yes	Not stated	No	NA	Not stated	Background	No
PMC6541473	885	Kaushalya	PLoS One	Database, RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	Yes	No	Not stated	Background	No
PMC6541584	886	Kaushalya	J Assist Reprod Genet	RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
PMC6541629	887	Kaushalya	Sci Rep	RNA-seq	Mus musculus	GO, KEGG, WikiPathway	No	Not stated	Yes	WebGestalt	No	NA	Not stated	Background	No
PMC6541682	888	Kaushalya	J Assist Reprod Genet	RNA-seq	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	Yes
PMC6541990	889	Kaushalya	Evid Based Complement Alternat Med	Proteomics	Rattus norvegicus	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background	Yes
PMC6542032	890	Kaushalya	Clin Proteomics	Proteomics	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
PMC6542032	890	Kaushalya	Clin Proteomics	Proteomics	Homo sapiens	KEGG	No	Not stated	Yes	DAVID	Yes	NA	Not stated	Background	Yes
PMC6542471	891	Kaushalya	J Biol Rhythms	Gene expression array	Homo sapiens	Not stated	No	Not stated	Yes	PSEA	No	NA	Not stated	Background	No
PMC6542536	892	Kaushalya	PLoS One	RNA-seq	Drosophila	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	Yes
PMC6542760	893	Kaushalya	Biosci Rep	RNA-seq	Homo sapiens	GO	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	Yes
PMC6542763	894	Kaushalya	Biosci Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background	Yes
PMC6542763	894	Kaushalya	Biosci Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	No	GSEA	No	NA	Not stated	Background	Yes
PMC6542797	895	Kaushalya	Sci Rep	Database	Trollius chinensis Bunge	GO, KEGG	No	Not stated	No	ClueGO/Cytoscape	Yes	NA	Not stated	Background, FDR	Yes
PMC6543129	896	Kaushalya	J Adv Res	Database	Homo sapiens, Mus musculus	Not stated	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	No
PMC6543129	896	Kaushalya	J Adv Res	Database	Homo sapiens, Mus musculus	Not stated	No	Not stated	No	Omicshare	No	NA	Not stated	Background, FDR	No
PMC6543588	897	Kaushalya	Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	Ingenuity Pathway Analysis	No	NA	Not stated	Background	Yes
PMC6543588	897	Kaushalya	Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	WebGestalt	No	NA	Not stated	Background	Yes
PMC6543588	897	Kaushalya	Clin Epigenetics	DNA methylation array	Homo sapiens	GO	No	Fisher	Yes	REVIGO	No	NA	Not stated	Background	Yes
PMC6543669	898	Kaushalya	Cancer Cell Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
PMC6544013	899	Kaushalya	PeerJ	RNA-seq	Homo sapiens	GO, KEGG	No	GSEA	Yes	GSEA	No	NA	Not stated	Background	Yes
PMC6544125	900	Kaushalya	PeerJ	RNA-seq	Rattus norvegicus, Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6544403	901	Sameer	Oncotarget	Gene expression array	Homo sapiens	GO	No	Not stated	No	DAVID	Yes	NA	Not stated	Background, FDR	No
PMC6544406	902	Sameer	Oncotarget	Protein array	Homo sapiens	Ingenuity Knowledge Base, Pathway Commons	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Yes	FDR	Yes
PMC6544406	902	Sameer	Oncotarget	Protein array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	Yes
PMC6544406	902	Sameer	Oncotarget	Protein array	Homo sapiens	Ingenuity, Pathway Commons, KEGG, Reactome	No	Hypergeometric	Yes	WebGestalt	No	NA	Not stated	Background	Yes
PMC6544638	903	Sameer	Hortic Res	RNA-seq	Citrus sinensis	GO, KEGG	No	Hypergeometric	Yes	agriGO	No	NA	Not stated	Background	Yes
PMC6544638	903	Sameer	Hortic Res	RNA-seq	Citrus sinensis	GO, KEGG	No	Hypergeometric	Yes	ClueGO/Cytoscape	No	NA	Not stated	Background	Yes
PMC6544937	904	Sameer	BMC Med Genet	Database	Homo sapiens	KEGG	No	Fisher	No	DIANA-miRPath	Yes	NA	Not stated	Background, FDR	Yes
PMC6544974	905	Sameer	J Biol Eng	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	NA	NA	Not stated	Background	No
PMC6545021	906	Sameer	BMC Genomics	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6545268	907	Sameer	J Rheumatol	Gene expression array	Homo sapiens	KEGG, Reactome	No	Not stated	Yes	Reactome FI/Cytoscape	No	NA	Not stated	Background	No
PMC6545444	908	Sameer	Genes Dis	Gene expression array	Mus musculus	GO, KEGG	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
PMC6545574	909	Sameer	Clin Transplant	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	Not stated	No	NA	Not stated	Background	No
PMC6545689	910	Sameer	Acta Neuropathol Commun	DNA methylation array	Homo sapiens	GO	No	Not stated	Yes	Custom script	No	No	Not stated	No	No
PMC6545785	911	Sameer	Biomed Res Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PMC6546218	912	Sameer	PLoS One	RNA-seq	Danio rerio	GO, KEGG	No	Not stated	Yes	WebGestalt	No	NA	Yes	No	No
PMC6546408	913	Sameer	RNA Biol	Gene expression array	Homo sapiens	GO	No	No test	No test	WebGestalt	Yes	NA	Not stated	Inference without test, Background	Yes
PMC6546408	913	Sameer	RNA Biol	Gene expression array	Homo sapiens	GO	No	Not stated	Not stated	DAVID	Yes	NA	Not stated	Background	Yes
PMC6546408	913	Sameer	RNA Biol	Gene expression array	Homo sapiens	Enrichr	No	Not stated	Yes	Enrichr	No	NA	Not stated	Background	Yes
PMC6546480	914	Sameer	J Clin Invest	Gene expression array	Homo sapiens	MSigDB	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6546543	915	Sameer	J Nutr Biochem	RNA-seq, DNA methylation sequencing	Mus musculus	Ingenuity Knowledge Base	No	Not stated	Yes	Ingenuity Pathway Analysis	Yes	NA	Not stated	Background	No
PMC6546979	916	Sameer	Oncol Lett	Gene expression array	Homo sapiens	GO	No	Not stated	No	Not stated	No	NA	Not stated	Background, FDR	No
PMC6546980	917	Sameer	Oncol Lett	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	Yes	clusterProfiler	No	NA	Not stated	Background	No
PMC6547356	918	Sameer	Int J Mol Sci	RNA-seq	Homo sapiens	GO, KEGG, Reactome	No	Hypergeometric	Yes	CPDB	No	NA	Not stated	Background	Yes
PMC6547493	919	Sameer	BMC Genomics	RNA-seq	Zea mays, Oryza sativa	GO	No	Hypergeometric	No	agriGO	Yes	NA	Yes	FDR	Yes
PMC6547586	920	Sameer	BMC Cancer	Gene expression array, RNA-seq	Homo sapiens	Ingenuity Knowledge Base	No	Fisher	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6547838	921	Sameer	Front Immunol	Gene expression array	Homo sapiens	Ingenuity Knowledge Base	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	Yes
PMC6548007	922	Sameer	J Cancer	Genome sequencing	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	Yes	No	Not stated	Background, FDR	No
PMC6548156	923	Sameer	J Cancer	Gene expression array	Homo sapiens	GO, KEGG	No	Hypergeometric	No	Custom R script	Yes	No	Not stated	Background, FDR	Yes
PMC6548476	924	Sameer	Islets	Gene expression array	Mus musculus	MSigDB	Yes	GSEA	Yes	GSEA	Yes	NA	NA	No	No
PMC6548586	925	Sameer	Mult Scler Relat Disord	Gene expression array, Metabolomics	Homo sapiens	GO, HMDB, PubChem	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Yes	FDR	Yes
PMC6548637	926	Sameer	Ann Epidemiol	Genome sequencing	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	No	Not stated	Background, FDR	No
PMC6548759	927	Sameer	Breast Cancer Res Treat	Gene expression array	Homo sapiens	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6548796	928	Sameer	3 Biotech	RNA-seq	Anas platyrhynchos	GO, KEGG	No	Hypergeometric	No	DAVID	Yes	NA	Not stated	Background, FDR	Yes
PMC6548822	929	Sameer	Front Physiol	Proteomics	Capra aegagrus hircus	GO, KEGG	No	Not stated	No	PANTHER	No	No	Not stated	Background, FDR	No
PMC6548868	930	Sameer	Mol Cell Biochem	Proteomics	Mus musculus	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	No	Background, FDR	No
PMC6549072	931	Sameer	Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	Ingenuity Pathway Analysis	No	NA	Not stated	Background, FDR	No
PMC6549077	932	Sameer	Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	FDR	No
PMC6549077	932	Sameer	Oncol Rep	Gene expression array	Homo sapiens	Not stated	No	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6549101	933	Sameer	Oncol Rep	Gene expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	Yes	NA	Not stated	FDR	No
PMC6549101	933	Sameer	Oncol Rep	Gene expression array	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	No	NA	NA	No	No
PMC6549376	934	Sameer	Cancer Cell Int	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	Yes	DAVID	No	NA	Not stated	Background	No
PMC6549376	934	Sameer	Cancer Cell Int	RNA-seq	Homo sapiens	MSigDB	No	GSEA	No	GSEA	No	NA	NA	Background	No
PMC6549402	935	Sameer	Front Oncol	RNA-seq	Homo sapiens	GO, KEGG	No	Not stated	No	clusterProfiler	No	No	Not stated	Background, FDR	Yes
PMC6549486	936	Sameer	Onco Targets Ther	RNA-seq	Homo sapiens	MSigDB	Yes	GSEA	Yes	GSEA	Yes	No	NA	No	No
PMC6549663	937	Sameer	Onco Targets Ther	Gene expression array, miRNA expression array	Homo sapiens	GO, KEGG	No	Not stated	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6549776	938	Sameer	Onco Targets Ther	RNA-seq	Homo sapiens	GO, KEGG	No	No test	No test	Not stated	No	NA	Not stated	Background, FDR	No
PMC6549782	939	Sameer	Cancer Manag Res	RNA-seq, Genome sequencing	Homo sapiens	Not stated	No	GSEA	No	GSEA	No	NA	Not stated	Background, FDR	No
PMC6550819	940	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6551033	941	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6551109	942	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6551448	943	Sameer	Cancer Manag Res	Gene expression array, RNA-seq	Homo sapiens	KEGG	No	Not stated	Yes	clusterProfiler	No	No	Not stated	Background	No
PMC6551448	943	Sameer	Cancer Manag Res	Gene expression array, RNA-seq	Homo sapiens	KEGG, MSigDB	Yes	GSEA	Yes	GSEA	Yes	No	NA	No	No
PMC6551671	944	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6551691	945	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6551908	946	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552049	947	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552156	948	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552362	949	Sameer	Technol Cancer Res Treat	RNA-seq	Homo sapiens	GO, KEGG	No	Fisher	No	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6552526	950	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552683	951	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552812	952	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552828	953	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552898	954	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552914	955	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6552977	956	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6553161	957	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6553346	958	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6553369	959	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6553445	960	Sameer	J Endocr Soc	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE	EXCLUDE
PMC6553932	961	Sameer	PeerJ	Proteomics	Homo sapiens	GO	No	Not stated	Not stated	PANTHER	No	NA	Not stated	Background, FDR	Yes
PMC6553932	961	Sameer	PeerJ	Proteomics	Homo sapiens	GO	No	Not stated	Not stated	DAVID	No	NA	Not stated	Background, FDR	Yes
PMC6554651	962	Sameer	Environ Entomol	RNA-seq	Apis mellifera	GO, KEGG	No	Fisher	Yes	DAVID	Yes	NA	Not stated	Background	Yes
